
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __L/D,ratio |   ___cl,total |   ___cd,total |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   hstab,_lift |   hstab,_lift |   vstb1,_lift |   vstb2,_lift | 
     15.16439 |       9.27077 |       9.27077 |       0.00000 |      20.55117 |      15.55117 |     299.93591 |      -0.00322 |       0.00002 |       0.00002 |       0.00002 |      -0.00370 |       0.00003 |       0.00003 |       2.28626 |      -0.20251 |     118.15306 |     131.07014 |     130.94267 |      12.91708 |      92.28627 |       0.20235 |     180.00000 |      -0.06555 |      -0.00154 |      -0.32735 |     116.91342 |    -357.15036 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     16.16866 |      10.29527 |      10.29527 |       0.00000 |      20.55149 |      15.55149 |     299.93591 |      -0.00114 |       0.00002 |       0.00002 |       0.00002 |      -0.00131 |       0.00002 |       0.00002 |       2.28650 |      -0.20238 |     118.15308 |     131.07016 |     130.98564 |      12.91708 |      92.28651 |       0.20222 |     180.00000 |      -0.06339 |      -0.00119 |      -0.17805 |     373.46194 |   -2097.47388 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     17.16857 |      11.29621 |      11.29621 |       0.00000 |      20.55181 |      15.55181 |     299.93591 |      -0.00042 |       0.00005 |       0.00005 |       0.00005 |      -0.00048 |       0.00005 |       0.00005 |       2.28651 |      -0.20238 |     118.15308 |     131.07016 |     131.00070 |      12.91708 |     -87.71347 |      -0.20222 |     180.00000 |       0.13794 |      -0.00093 |      -0.52011 |     -14.21381 |      27.32836 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     18.16923 |      12.29584 |      12.29584 |       0.00000 |      20.55210 |      15.55210 |     299.93591 |      -0.00015 |       0.00000 |       0.00000 |       0.00000 |      -0.00017 |       0.00001 |       0.00001 |       2.28682 |      -0.20236 |     118.15308 |     131.07016 |     131.00615 |      12.91708 |     -87.71317 |      -0.20219 |     180.00000 |       0.01380 |      -0.00072 |      -0.16941 |    1053.86743 |   -6220.83789 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     19.16891 |      13.29474 |      13.29474 |       0.00000 |      20.55240 |      15.55240 |     299.93591 |      -0.00006 |       0.00006 |       0.00006 |       0.00006 |      -0.00006 |       0.00007 |       0.00007 |       2.28690 |      -0.20233 |     118.15308 |     131.07016 |     131.00815 |      12.91708 |     -87.71309 |      -0.20217 |     180.00000 |       0.17344 |      -0.00056 |      -0.17240 |      12.79852 |     -74.23709 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     20.16875 |      14.29573 |      14.29573 |       0.00000 |      20.55271 |      15.55271 |     299.93591 |      -0.00002 |       0.00009 |       0.00008 |       0.00008 |      -0.00002 |       0.00010 |       0.00010 |       2.28669 |      -0.20244 |     118.15310 |     131.07018 |     131.00890 |      12.91708 |     -87.71329 |      -0.20228 |     180.00000 |       0.24890 |      -0.00044 |      -0.25180 |      -4.31155 |      17.12272 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     21.17842 |      15.32350 |      15.32350 |       0.00000 |      20.55302 |      15.55302 |     299.93591 |      -0.00001 |       0.00004 |       0.00004 |       0.00004 |      -0.00001 |       0.00005 |       0.00005 |       2.28674 |      -0.20262 |     118.15311 |     131.07019 |     131.00905 |      12.91708 |      92.28674 |       0.20246 |     180.00000 |      -0.12544 |      -0.00034 |       0.70483 |      12.73787 |      18.07230 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
     22.16876 |      16.29609 |      16.29609 |       0.00000 |      20.55331 |      15.55331 |     299.93591 |      -0.00001 |       0.00005 |       0.00004 |       0.00004 |      -0.00001 |       0.00005 |       0.00005 |       2.28625 |      -0.20232 |     118.15313 |     131.07021 |     131.00905 |      12.91708 |     -87.71373 |      -0.20216 |     180.00000 |       0.12987 |      -0.00026 |      -0.78088 |     -22.34248 |      28.61198 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     23.16871 |      17.29466 |      17.29466 |       0.00000 |      20.55363 |      15.55363 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00001 |       0.00001 |       2.28667 |      -0.20229 |     118.15313 |     131.07021 |     131.00905 |      12.91708 |      92.28668 |       0.20213 |     180.00000 |      -0.03698 |      -0.00021 |      -0.19068 |   -1113.24683 |    5838.45117 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     24.16879 |      18.29586 |      18.29586 |       0.00000 |      20.55395 |      15.55395 |     299.93591 |      -0.00001 |       0.00004 |       0.00003 |       0.00003 |      -0.00001 |       0.00004 |       0.00004 |       2.28649 |      -0.20240 |     118.15313 |     131.07021 |     131.00905 |      12.91708 |      92.28650 |       0.20224 |     180.00000 |      -0.10119 |      -0.00016 |      -0.45694 |      46.71835 |    -102.24156 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     25.16829 |      19.28006 |      19.28006 |       0.00000 |      20.55426 |      15.55426 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00001 |       0.00001 |       2.28652 |      -0.20230 |     118.15314 |     131.07022 |     131.00905 |      12.91708 |     -87.71346 |      -0.20214 |     180.00000 |       0.01510 |      -0.00013 |      -0.16394 |   -5448.58252 |   33234.65625 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     26.16838 |      20.29649 |      20.29649 |       0.00000 |      20.55454 |      15.55454 |     299.93591 |      -0.00001 |       0.00002 |       0.00002 |       0.00002 |      -0.00001 |       0.00002 |       0.00002 |       2.28653 |      -0.20225 |     118.15315 |     131.07024 |     131.00905 |      12.91708 |      92.28654 |       0.20209 |     180.00000 |      -0.05826 |      -0.00010 |      -0.31906 |     -46.80921 |     146.70915 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
